## Van Noten et al. JOSE - Electronic Supplement S1: HVSR information of ambient noise measurements above boreholes in Brussels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Nr: number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Location: town of measurement in Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ID: Identification number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Easting: location in Lambert72 coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Northing: location in Lambert72 coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lon: longitude in WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#lat:latitude in WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Z (DEM): altitude of measurement deduced from DEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Geology: Cover geology of the location (see paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Group: Group number of the location (see paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Boreholenr: official nr of the borehole above which the measurement was performed (from Geological Survey of Belgium; https://gisel.naturalsciences.be/gisel/gisel.html),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#h: sediment thickness above the bedrock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Top_bedrock: Z_DEM - h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#H/V file: Filenumber of raw ambient noise data file (available upon request),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0 min: f0_win/stddev (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0_win: average resonance frequency by taking the f0 of each individual window and averaging all f0 values from these windows (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0 average: scanning the average curve and identifying the frequency at which the maximum amplitude occurs (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0_ip: resonance frequency computed after interpolating the HV-Amplitude graph using python (see paper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#error: standard deviation on f0 (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#f0 max: f0_win.stddev (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#A0: maximum amplitude (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#nw: number of windows (from GEOPSY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Vs: 4.f0_ip.thickness (Fig. 7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#a_R1_R2_R3: a powerlaw relation value of group R1, R2, R3, R4 (= geologically-dependant PR) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#b_R1_R2_R3: b powerlaw relation value of group R1, R2, R3, R4 (= geologically-dependant PR)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Th_Indiv: predicted sediment thickness after applying PR R1, R2, R3, R4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Th-Th_indiv: difference between True thickness (from borehole) and predicted thickness (from PR R1, R2, R3 or R4; Fig. 6A)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#a_R: a powerlaw relation value of group R (= regional-dependant PR) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#b_R: b powerlaw relation value of group R (= regional-dependant PR) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Th_all: predicted sediment thickness after applying PR R' (Fig. 6A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Th-Th_all: difference between True thickness (from borehole) and predicted thickness (from PR R'; Fig. 6A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#diff: difference between h-h_indic and h-h_all (Fig. 6B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nr,Location,ID,Easting,Northing,lat,lon,Z (DEM),Geology,Region,Borehole,h,Top_Pal,H/V file,f0 min,f0_win,f0 average,f0_ip,error,f0 max,A0,nw,Vs,a_R1_R2_R3_R4,b_R1_R2_R3_R4,h_Indiv,h-h_indiv,a_R',b_R',h_all,h-h_all,diff
1,Watermaal-Bosvoorde,C05,152808.74,166177.22,50.80603905,4.408599172,88.7,Ld,R3,102W0846,115.5,-26.77,C05,0.809,0.822,0.817,0.817,0.014,0.836,17.506,15,379.749884,90.422,-1.641,125.98,-10.48,88.631,-1.683,124.54,-9.04,-1.44
2,Uccle ROB,Ukkel,149305,165170,50.79699117,4.358893142,101.01,Ld,R3,102W0865,116.4,-15.4,Ukkel,0.836,0.904,0.312,0.87,0.068,0.972,7.353,24,421.0158562,90.422,-1.641,113.64,2.76,88.631,-1.683,112.04,4.36,1.6
3,Uccle ROB,Ukkel,149305,165170,50.79699117,4.358893142,101.01,Ld,R3,102W0847,117.7,-16.65,Ukkel,0.873,0.896,0.333,0.87,0.023,0.92,7.813,9,421.8327494,90.422,-1.641,113.64,4.06,88.631,-1.683,112.04,5.66,1.6
4,Elsene,C08,150997.92,168012.92,50.82254732,4.382914146,84.75,Ld,R3,102W0105,122,-37.2,C08,0.804,0.831,0.834,0.833,0.027,0.858,13.128,17,405.5305788,90.422,-1.641,122.04,-0.04,88.631,-1.683,120.54,1.46,1.42
5,Sint-Stevens-Woluwe,C12,153217.39,172254.37,50.86066772,4.41445055,76.88,Ld,R3,088W1056,156.5,-79.6,C12,0.737,0.781,0.767,0.767,0.044,0.826,11.177,17,488.9682042,90.422,-1.641,139.74,16.76,88.631,-1.683,138.51,17.99,1.23
6,Evere,K10,149600.77,175853.2,50.89302824,4.363078221,53.84,Ld,R3,088W0071,171.6,-117.8,K10,0.661,0.683,0.683,0.684,0.022,0.706,7.136,10,469.1916712,90.422,-1.641,168.63,2.97,88.631,-1.683,167.95,3.65,0.68
7,Schaarbeek,B11,152063.24,170760.55,50.84724437,4.398048952,90.32,Mal,R3,088W0049,133.4,-43.11,B11,0.741,0.768,0.766,0.767,0.027,0.794,15.945,17,409.6850732,90.422,-1.641,139.74,-6.34,88.631,-1.683,138.51,-5.11,-1.23
8,Oudergem,E09,152465.83,168247.93,50.82465547,4.403748394,91.99,Mal,R3,102W0005,140.4,-48.44,E09,0.753,0.804,0.783,0.784,0.051,0.855,10.731,13,451.53469,90.422,-1.641,134.8,5.6,88.631,-1.683,133.49,6.91,1.31
9,Wezembeek-Oppem,L12,156405.76,171203.87,50.85119763,4.459718308,76.64,Mal,R3,088E0688,144.9,-68.23,L12,0.746,0.788,0.767,0.767,0.043,0.831,9.014,13,456.9014366,90.422,-1.641,139.74,5.16,88.631,-1.683,138.51,6.39,1.23
10,Wezembeek-Oppem,K12,156387.59,171123.82,50.85047822,4.459458882,75.99,Mal,R3,088E0687,145.4,-69.36,K12,0.77,0.79,0.78,0.78,0.02,0.81,9.72,14,459.5420484,90.422,-1.641,135.94,9.46,88.631,-1.683,134.65,10.75,1.29
11,Wezembeek-Oppem,K12,156387.59,171123.82,50.85047822,4.459458882,75.99,Mal,R3,088E0687,145.4,-69.36,K12,0.77,0.79,0.78,0.78,0.02,0.81,9.72,14,459.5420484,90.422,-1.641,135.94,9.46,88.631,-1.683,134.65,10.75,1.29
12,Evere,L10,149473.54,175885.43,50.89331787,4.361269815,58.06,Mal,R3,088W0071,175.9,-117.8,L10,0.66,0.7,0.7,0.7,0.04,0.75,5.37,26,493.7628254,90.422,-1.641,162.36,13.54,88.631,-1.683,161.54,14.36,0.81
13,Uccle,A201,151025.0847,162193.0678,50.770229,4.383283,124,Shh,R3,102E0PZ2,126.5,-2.5,170626_0933.201,0.805,0.85,0.843,0.85,0.046,0.896,10.47,67,430.280136,90.422,-1.641,118.06,8.44,88.631,-1.683,116.51,9.99,1.55
14,Beersel,A340,148115.2059,159724.6854,50.74803703,4.342044024,84.09,Br,R3,102w0867,65.5,18.63,170824_1206.340,0.978,1.049,1.092,1.334,0.071,1.12,9.583,16,274.7539488,90.422,-1.641,56.35,9.15,88.631,-1.683,54.57,10.93,1.78
15,Beersel,A235,146338.6202,161289.4308,50.76209536,4.316855238,98,Br,R3,102W0858,70.1,27.89,170802_0941.235,1.095,1.226,1.211,1.215,0.131,1.358,9.162,35,343.9372248,90.422,-1.641,65.69,4.41,88.631,-1.683,63.86,6.24,1.83
16,Uccle,C01,147607.93,164481.9,50.79080103,4.334825698,58.92,Br,R3,102W0801,70.9,-11.95,C01,1.109,1.14,1.134,1.135,0.031,1.17,12.657,8,323.0339644,90.422,-1.641,73.46,-2.56,88.631,-1.683,71.62,-0.72,-1.84
17,Sint-Genesius-Rode,B162,149504.568,158786.5907,50.73960651,4.361731857,110.05,Br,R3,102W0798,76.9,33.15,170828_1110.162,1.086,1.142,1.15,1.145,0.057,1.199,10.239,53,351.359176,90.422,-1.641,72.41,4.49,88.631,-1.683,70.57,6.33,1.84
18,Braine-l'Alleud,B160,148293.8396,157274.0712,50.72600711,4.344586171,114.88,Br,R3,116W0170,83.3,31.61,170824_1537.160,1.134,1.174,1.15,1.171,0.04,1.215,10.78,53,391.135844,90.422,-1.641,69.79,13.51,88.631,-1.683,67.95,15.35,1.83
19,Braine-l'Alleud,C445,148313.6932,157248.9442,50.72578128,4.344867468,116.06,Br,R3,116W0170,84.5,31.61,170824_1635.445,1.13,1.163,1.15,1.16,0.03606,1.19606,14.8315,47,392.8614,90.422,-1.641,70.88,13.62,88.631,-1.683,69.04,15.46,1.84
20,Sint-Genesius-Rode,A299,150493.7679,160288.3102,50.75310651,4.375748114,107.13,Br,R3,102W0252A,91.4,15.73,170811_1322.299,0.895,0.93,0.935,0.926,0.035,0.964,9.882,31,339.8332432,90.422,-1.641,102.58,-11.18,88.631,-1.683,100.87,-9.47,-1.71
21,Sint-Genesius-Rode,B103,150451.7028,160313.9453,50.753337,4.375152038,107.94,Br,R3,102W0252,92.2,15.73,170811_1326.103,0.889,0.933,0.935,0.936,0.043,0.976,10.477,28,343.9949376,90.422,-1.641,100.79,-8.59,88.631,-1.683,99.07,-6.87,-1.72
22,Elsene,E05,150447.59,167620.13,50.81901703,4.37510331,63.98,Br,R3,102W0105,101.2,-37.2,E05,0.773,0.835,0.817,0.85,0.063,0.898,7.316,9,338.0035269,90.422,-1.641,118.06,-16.86,88.631,-1.683,116.51,-15.31,-1.55
23,Saint-Gilles,B07,148732.94,167982.76,50.82227585,4.350769543,81.06,Br,R3,102W0004d,115.5,-34.41,B07,0.881,0.95,0.917,0.916,0.069,1.019,6.993,7,438.770758,90.422,-1.641,104.42,11.08,88.631,-1.683,102.73,12.77,1.69
24,Brussels,F05,149576.8,170269.78,50.84283629,4.362743239,61.96,Br,R3,088W1082,116.7,-54.71,F05,0.784,0.816,0.817,0.817,0.031,0.847,12.807,17,380.6713427,90.422,-1.641,125.98,-9.28,88.631,-1.683,124.54,-7.84,-1.44
25,Brussels,C10,149570.99,170610.11,50.84589569,4.362660394,60.39,Br,R3,088W0706,116.9,-56.5,C10,0.85,0.859,0.85,0.85,0.009,0.868,13.609,11,401.6821987,90.422,-1.641,118.06,-1.16,88.631,-1.683,116.51,0.39,-0.77
26,Brussels,B09,150536.67,169692.64,50.8376479,4.376370724,67.4,Br,R3,088W0748D,121.4,-53.96,B09,0.792,0.823,0.833,0.83,0.031,0.855,14.903,15,399.6821696,90.422,-1.641,122.76,-1.36,88.631,-1.683,121.28,0.12,-1.24
27,Brussels,F06,149104.46,169707.47,50.83778089,4.35603817,68.22,Br,R3,088W0009,125.7,-57.47,F06,0.797,0.818,0.817,0.817,0.021,0.838,14.163,17,411.0741726,90.422,-1.641,125.98,-0.28,88.631,-1.683,124.54,1.16,0.87
28,Etterbeek,B08,150992.76,169393.57,50.83495876,4.38284481,51.34,Br_Al,R2,088W1490,104.3,-53,B08,0.846,0.905,0.867,0.905,0.05,0.964,8.707,25,377.841851,88.486,-1.735,105.22,-0.92,88.631,-1.683,104.84,-0.54,-0.37
29,Oudergem,C06,152939.33,166894.36,50.8124852,4.410457666,61.92,Br_Al,R2,102W0800,91.9,-29.98,C06,0.862,0.89,0.9,0.9,0.028,0.917,10.041,13,327.068424,88.486,-1.735,106.23,-14.33,88.631,-1.683,105.83,-13.93,-0.41
30,Uccle,D02,149813.35,164960.68,50.7951098,4.36610383,72.25,Br_Al,R2,102W0810,91,-18.7,D02,0.868,0.948,1,0.999,0.08,1.028,8.127,8,344.840563,88.486,-1.735,88.64,2.36,88.631,-1.683,88.78,2.22,-0.14
31,Machelen,K11,153826.24,177134.97,50.90453775,4.423149792,15.31,KoMo_Al,R2,088W1473,133.7,-118.43,K11,0.781,0.809,0.809,0.809,0.027,0.836,3.23,12,432.7366334,88.486,-1.735,127.82,5.88,88.631,-1.683,126.62,7.08,1.19
32,Brussels,A07,147618.24,169105.84,50.83236844,4.334942646,20.95879,KoMo_Al,R2,088W0016,73.1,-52.19,A07,1.079,1.124,1.133,1.132,0.045,1.169,9.229,11,328.9793681,88.486,-1.735,71.36,1.74,88.631,-1.683,71.94,1.16,-0.58
33,Brussels,A08,147781.83,169310.03,50.83420465,4.337263604,22.25,KoMo_Al,R2,088W3055,67.5,-45.23,A08,1.041,1.088,1.1,1.102,0.047,1.135,8.797,10,293.7431392,88.486,-1.735,74.76,-7.26,88.631,-1.683,75.27,-7.77,0.5
34,Forest,B06,146832.91,168069.64,50.82304978,4.323803652,22.82,KoMo_Al,R2,088W1069,63.4,-40.58,B06,1.07,1.11,1.116,1.115,0.04,1.15,7.572,10,281.485856,88.486,-1.735,73.26,-9.86,88.631,-1.683,73.79,-10.39,0.54
35,Etterbeek,B10,150803,169742.01,50.83809138,4.38015182,46.99,KoMo_Al,R2,088W1490,100,-53,B10,0.873,0.915,0.933,0.933,0.043,0.958,6.64,13,366.1161847,88.486,-1.735,99.8,0.2,88.631,-1.683,99.6,0.4,0.2
